name,sleeve,category,firm,s2_id,s2_h,s2_cites,s2_papers,needs_review,papers_harvested,papers_in_pool,pct_in_pool,downloadable,has_abstract,pool_cites_total,pool_cites_median,fwd_citers_total,pagerank_total,distinct_sleeves,top_sleeve,top_paper_title,top_paper_fwd_citers
Kent Daniel,equity_xs,qfactor,,1719066,17,6812,42,0,14,13,92.9,2,8,5515,48,1317,0.00024547,3,other,Measuring Mutual Fund Performance with Characteristic‐Based Benchmarks,898
Sydney Ludvigson,macro_regime,macro,,66428735,28,8866,72,0,22,17,77.3,10,12,2998,49,1300,0.00020591,6,other,"Consumption, Aggregate Wealth and Expected Stock Returns",793
Barbara Rossi,macro_regime,macro,,4935479,35,5618,64,0,50,46,92.0,28,30,4684,58,1298,0.00020266,3,other,Can Exchange Rates Forecast Commodity Prices,215
Raman Uppal,cross_asset,,,39116899,29,9400,94,0,50,39,78.0,23,20,4634,40,1296,0.00022742,8,other,A Generalized Approach to Portfolio Optimization: Improving Performance by Constraining Portfolio Norms,439
Albert Menkveld,microstructure,microstructure,,2632263,31,6023,124,0,55,52,94.5,41,20,5365,28,1255,0.00024194,6,other,High frequency trading and the new market makers,309
Markus Brunnermeier,macro_regime,,,3113641,49,20393,167,0,75,68,90.7,35,35,7161,40,1234,0.00026146,8,other,Bubbles and crashes,282
Jeffrey Pontiff,equity_xs,,,3079037,19,5464,39,0,25,23,92.0,12,7,3658,46,1171,0.00023003,5,other,Costly Arbitrage: Evidence from Closed-End Funds,302
Ulrike Malmendier,equity_xs,,,1405417097,43,21583,120,0,54,48,88.9,39,32,11851,70,1144,0.00024239,5,other,Who Makes Acquisitions? CEO Overconfidence and the Market's Reaction,445
Claude Erb,commodities,,,52549769,20,4017,43,0,39,39,100.0,23,15,3446,27,1100,0.00026824,5,other,The Strategic and Tactical Value of Commodity Futures,512
Jonathan Wright,rates_credit,term_structure,,2244977415,26,18866,325,0,40,35,87.5,31,17,3532,66,1093,0.00020497,5,other,The TIPS Yield Curve and Inflation Compensation,158
Dimitris Korobilis,other,econometrics,,3410382,26,4312,73,0,54,54,100.0,51,24,4046,32,1063,0.00017132,7,other,A new index of financial conditions,275
Christopher Polk,equity_xs,factors,,49295598,21,5210,51,0,32,28,87.5,27,8,3090,50,1047,0.00016406,4,equity_xs,The Stock Market and Corporate Investment: A Test of Catering Theory,208
Hyun Song Shin,macro_regime,,,2337313,50,13353,261,0,117,112,95.7,40,66,8919,26,1039,0.00035192,9,other,Social Value of Public Information,225
Thierry Roncalli,cross_asset,,amundi,70432107,29,3940,123,0,98,92,93.9,73,23,3569,15,1002,0.00035566,6,other,The Properties of Equally Weighted Risk Contribution Portfolios,386
Pierre-Olivier Gourinchas,carry,convenience_yield,,119387559,44,12054,184,0,66,62,93.9,40,34,6685,36,921,0.00022671,5,other,An Equilibrium Model of Global Imbalances and Low Interest Rates,232
Dacheng Xiu,equity_xs,factors,,90286912,30,6038,62,0,41,31,75.6,20,13,2415,63,813,0.00010568,6,other,Taming the Factor Zoo: A Test of New Factors,238
Mark Kritzman,cross_asset,,,69441497,27,2921,175,0,146,135,92.5,31,81,2556,6,813,0.00035798,7,other,Principal Components as a Measure of Systemic Risk,113
Robert Novy-Marx,equity_xs,qfactor,,1398634241,28,6260,62,0,35,30,85.7,18,21,2169,34,790,0.00011502,6,other,A Taxonomy of Anomalies and their Trading Costs,297
Helene Rey,macro_regime,global_financial_cycle,,2411471688,35,10410,40,0,12,12,100.0,11,9,3788,124,767,9.621e-05,6,macro_regime,Dilemma not Trilemma: The Global Financial Cycle and Monetary Policy Independence,464
Hanno Lustig,macro_regime,macro,,3208964,45,8980,229,0,71,54,76.1,46,26,1719,14,752,0.00014823,8,other,"Housing Collateral, Consumption Insurance and Risk Premia: An Empirical Perspective",173
Adrien Verdelhan,fx,fx_basis,,101751026,33,7596,68,0,25,14,56.0,13,7,926,58,751,9.021e-05,7,carry,The Cross-Section of Foreign Currency Risk Premia and Consumption Growth Risk,223
Richard Lyons,fx,,,49427893,23,4072,38,0,26,24,92.3,4,12,2794,46,731,0.00018771,5,other,The Microstructure Approach to Exchange Rates,360
Lu Zhang,equity_xs,qfactor,,2411489783,23,15380,238,0,35,30,85.7,23,14,1249,8,708,7.709e-05,5,equity_xs,Replicating Anomalies,347
David Blitz,equity_xs,practitioner,robeco,49500384,22,2010,95,0,87,83,95.4,45,44,1808,12,697,0.000167,6,equity_xs,The Volatility Effect,205
Viral Acharya,rates_credit,,,2411680472,36,8928,36,0,43,32,74.4,27,12,4228,74,664,0.00014258,5,other,Precautionary Hoarding of Liquidity and Inter-Bank Markets: Evidence from the Sub-Prime Crisis,89
Lukas Menkhoff,carry,,,94380489,39,6333,174,0,113,113,100.0,76,47,5546,24,663,0.0002343,9,other,"The impact of experience on risk taking, overconfidence, and herding of fund managers: Complementary survey evidence",67
Owen Lamont,equity_xs,,acadian,2269496,30,10920,52,0,27,20,74.1,15,12,3940,95,647,0.00022713,6,other,Credit Conditions and the Cyclical Behavior of Inventories,148
