name,sleeve,category,firm,s2_id,s2_h,s2_cites,s2_papers,needs_review,papers_harvested,papers_in_pool,pct_in_pool,downloadable,has_abstract,pool_cites_total,pool_cites_median,fwd_citers_total,pagerank_total,distinct_sleeves,top_sleeve,top_paper_title,top_paper_fwd_citers
Dan Rasmussen,macro_regime,,verdad,144433967,18,2864,49,0,34,32,94.1,26,25,2934,42,114,9.543e-05,2,other,Estimating economic damage from climate change in the United States,56
Kelly Shue,equity_xs,behavioural,,3429142,12,2313,2,0,14,13,92.9,12,6,1196,24,111,4.457e-05,4,other,Screening Peers Softly: Inferring the Quality of Small Borrowers,31
Markus Pelger,equity_xs,factors,,88740624,18,1571,47,0,42,34,81.0,30,9,659,9,105,5.129e-05,6,other,Forest Through the Trees: Building Cross-Sections of Stock Returns,57
Wei Xiong,macro_regime,,,2242769925,12,3056,117,0,36,33,91.7,16,19,175,5,83,2.241e-05,3,other,Risks in China’s Financial System,29
Pim van Vliet,equity_xs,practitioner,robeco,145178118,16,999,50,0,28,27,96.4,7,19,312,8,81,2.253e-05,3,other,Risk aversion and skewness preference,38
Andreas Neuhierl,equity_xs,factors,,70411189,11,839,30,0,22,17,77.3,9,5,254,6,78,2.821e-05,5,other,Market Reaction to Corporate Press Releases,29
Matthias Hanauer,equity_xs,,robeco,10927903,20,1841,52,0,37,36,97.3,14,27,1757,26,65,6.652e-05,3,other,Machine Learning and The Cross-Section of Emerging Market Stock Returns,12
Nick Baltas,equity_xs,practitioner,,119479992,7,141,11,0,7,6,85.7,2,3,127,20,65,1.605e-05,3,cross_asset,"Demystifying Time‐Series Momentum Strategies: Volatility Estimators, Trading Rules and Pairwise Correlations",28
Guanhao Feng,equity_xs,factors,,49082014,8,849,34,0,27,23,85.2,19,9,189,3,59,3.313e-05,4,other,Deep Learning in Characteristics-Sorted Factor Models,32
David McLean,equity_xs,,,10805670,9,14426,522,0,16,8,50.0,6,1,721,85,49,1.398e-05,3,equity_xs,"Idiosyncratic Risk, Long-Term Reversal, and Momentum",29
Brian Hurst,trend_cta,trend_following,aqr,102281906,16,518,33,0,25,25,100.0,11,19,521,18,47,7.167e-05,1,other,Electroweak effects in e+e---> tau + tau - at 29 GeV.,8
William Fung,trend_cta,,,1810039,22,4966,37,0,14,14,100.0,1,6,283,12,43,2.61e-05,2,other,Pricing New Corporate Bond Issues: An Analysis of Issue Cost and Seasoning Effects,17
Wesley Gray,equity_xs,,alpha architect,49669863,5,11433,292,0,28,28,100.0,4,17,150,24,41,1.265e-05,1,other,Why Do Fund Managers Identify and Share Profitable Ideas?,14
Bob Litterman,macro_regime,practitioner_macro,,123388926,3,334,6,0,5,5,100.0,3,5,129,15,24,1.029e-05,2,other,Applying Asset Pricing Theory to Calibrate the Price of Climate Risk,20
Serhiy Kozak,equity_xs,factors,,101120005,8,953,16,0,9,8,88.9,8,3,148,18,19,1.246e-05,5,equity_xs,Kernel Trick for the Cross Section,9
Leda Braga,macro_regime,practitioner_macro,,5392205,11,443,43,0,30,29,96.7,26,25,334,4,12,2.766e-05,1,other,COMPREHENDING THE TOPIC OF A PARAGRAPH: A FUNCTIONAL IMAGING STUDY OF A COMPLEX LANGUAGE PROCESS,3
Refet Gurkaynak,rates_credit,,,2174693814,3,91,5,0,2,2,100.0,2,2,72,72,6,2.22e-06,2,macro_regime,"Dynamics of Macroeconomic Adjustment in a Globalized Developing Economy: Growth, Accumulation and Distribution, Turkey 1",6
Tobias Adrian,rates_credit,,,2448060413,1,16710,1,0,1,1,100.0,1,1,17127,17127,3,3.26e-06,1,other,A global reference for human genetic variation,3
Kathryn Kaminski,trend_cta,trend_following,alphasimplex,145394771,4,116,26,0,18,18,100.0,1,16,2,2,2,2.358e-05,4,trend_cta,Systematic Trend Following Basics,2
Ralph Sueppel,carry,,macrosynergy,122463988,2,19,3,0,2,2,100.0,0,2,3,3,2,3.22e-06,2,other,Forecasting Sovereign Credit Spreads,2
Andrew Y. Chen,equity_xs,qfactor,,2309213717,23,2842,146,0,120,119,99.2,79,97,2606,7,0,3.12e-06,1,other,Comparison of Auditory Perceptual Ratings Between Australian and Cantonese Listeners on Normal and Disordered Voices.,0
Bob Prince,macro_regime,practitioner_macro,bridgewater,2076060575,1,4,2,0,2,2,100.0,0,1,4,4,0,0,1,other,Section V panel: Swimming against the paradigm tide: (516002006-014),0
David Harding,macro_regime,practitioner_macro,,2071327097,5,10167,152,0,2,2,100.0,0,1,13,13,0,0,2,trend_cta,Managed Futures:: Trend-Following Investing,0
Ian Dew-Becker,vol_options,volatility,,1399085481,16,1690,47,0,0,0,,0,0,0,0,0,0,0,,,0
James MacKinlay,other,,,32624555,5,439,5,0,5,4,80.0,2,3,388,30,0,0,1,other,Effect of germination temperatures on proteolysis of the gluten-free grains sorghum and millet during malting and mashin,0
Neil Shephard,vol_options,,,50275561,67,33368,193,1,0,0,,0,0,0,0,0,0,0,,,0
Nikolai Roussanov,carry,,,2411761825,7,1020,8,0,2,0,0.0,0,0,0,0,0,0,0,,,0
Ray Dalio,macro_regime,practitioner_macro,bridgewater,1475790281,1,6,5,0,3,3,100.0,1,1,0,0,0,0,2,other,Brain Stimulation: Table of Contents,0
Shihao Gu,equity_xs,factors,,90255997,3,2358,9,0,2,2,100.0,1,0,14,14,0,1.56e-06,1,other,Production Outsourcing and Innovation: Evidence from China’s Pharmaceutical Industry,0
Vitali Kalesnik,cross_asset,,research affiliates,97748897,16,725,61,0,0,0,,0,0,0,0,0,0,0,,,0
Zhengyang Jiang,carry,convenience_yield,,14484581,14,1141,21,0,0,0,,0,0,0,0,0,0,0,,,0
